File: CAP_3_00_01_05_06_20.bin  (131072 bytes, 131072 samples)

   Index   Dec   Hex         Bin
     278    71    47  01000111
     279    71    47  01000111
     280    71    47  01000111
     281    71    47  01000111
     282    70    46  01000110
     283    71    47  01000111
     284    71    47  01000111
     285    71    47  01000111
     286    71    47  01000111
     287    71    47  01000111
     288    71    47  01000111
     289    71    47  01000111
     290    70    46  01000110
     291    71    47  01000111
     292    71    47  01000111
     293    71    47  01000111
     294    70    46  01000110
     295    71    47  01000111
     296    71    47  01000111
     297    70    46  01000110
     298    70    46  01000110
     299    71    47  01000111
     300    71    47  01000111
     301    71    47  01000111
     302    71    47  01000111
     303    71    47  01000111
     304    71    47  01000111
     305    71    47  01000111
     306    70    46  01000110
     307    71    47  01000111
     308    71    47  01000111
     309    71    47  01000111
     310    71    47  01000111
     311    71    47  01000111
     312    71    47  01000111
     313    71    47  01000111
     314    70    46  01000110
     315    71    47  01000111
     316    71    47  01000111
     317    71    47  01000111
     318    70    46  01000110
     319    71    47  01000111
     320    71    47  01000111
     321    71    47  01000111
     322    70    46  01000110
     323    71    47  01000111
     324    71    47  01000111
     325    71    47  01000111
     326    71    47  01000111
     327    71    47  01000111
     328    71    47  01000111
     329    71    47  01000111
     330    71    47  01000111
     331    71    47  01000111
     332    71    47  01000111
     333    71    47  01000111
     334    70    46  01000110
     335    71    47  01000111
     336    71    47  01000111
     337    71    47  01000111
     338    71    47  01000111
     339    71    47  01000111
     340    71    47  01000111
     341    71    47  01000111
     342    71    47  01000111
     343    71    47  01000111
     344    71    47  01000111
     345    70    46  01000110
     346    71    47  01000111
     347    71    47  01000111
     348    71    47  01000111
     349    71    47  01000111
     350    71    47  01000111
     351    71    47  01000111
     352    71    47  01000111
     353    71    47  01000111
     354    70    46  01000110
     355    71    47  01000111
     356    71    47  01000111
     357    71    47  01000111
     358    70    46  01000110
     359    71    47  01000111
     360    71    47  01000111
     361    70    46  01000110
     362    70    46  01000110
     363    71    47  01000111
     364    71    47  01000111
     365    71    47  01000111
     366    71    47  01000111
     367    71    47  01000111
     368    71    47  01000111
     369    71    47  01000111
     370    70    46  01000110
     371    71    47  01000111
     372    71    47  01000111
     373    71    47  01000111
     374    70    46  01000110
     375    71    47  01000111
     376    71    47  01000111
     377    70    46  01000110
     378    70    46  01000110
     379    71    47  01000111
     380    71    47  01000111
     381    71    47  01000111
     382    71    47  01000111
     383    71    47  01000111
     384    71    47  01000111
     385    71    47  01000111
     386    70    46  01000110
     387    71    47  01000111
     388    71    47  01000111
     389    71    47  01000111
     390    71    47  01000111
     391    71    47  01000111
     392    71    47  01000111
     393    71    47  01000111
     394    70    46  01000110
     395    71    47  01000111
     396    71    47  01000111
     397    71    47  01000111
     398    71    47  01000111
     399    71    47  01000111
     400    71    47  01000111
     401    70    46  01000110
     402    70    46  01000110
     403    71    47  01000111
     404    71    47  01000111
     405    71    47  01000111
     406    71    47  01000111
     407    71    47  01000111
     408    71    47  01000111
     409    70    46  01000110
     410    70    46  01000110
     411    71    47  01000111
     412    71    47  01000111
     413    71    47  01000111
     414    70    46  01000110
     415    70    46  01000110
     416    71    47  01000111
     417    71    47  01000111
     418    70    46  01000110
     419    71    47  01000111
     420    71    47  01000111
     421    71    47  01000111
     422    71    47  01000111
     423    71    47  01000111
     424    71    47  01000111
     425    70    46  01000110
     426    70    46  01000110
     427    71    47  01000111
     428    71    47  01000111
     429    71    47  01000111
     430    70    46  01000110
     431    71    47  01000111
     432    71    47  01000111
     433    71    47  01000111
     434    70    46  01000110
     435    71    47  01000111
     436    71    47  01000111
     437    71    47  01000111
     438    71    47  01000111
     439    70    46  01000110
     440    71    47  01000111
     441    70    46  01000110
     442    70    46  01000110
     443    71    47  01000111
     444    71    47  01000111
     445    70    46  01000110
     446    71    47  01000111
     447    71    47  01000111
     448    71    47  01000111
     449    70    46  01000110
     450    70    46  01000110
     451    71    47  01000111
     452    71    47  01000111
     453    71    47  01000111
     454    71    47  01000111
     455    71    47  01000111
     456    71    47  01000111
     457    70    46  01000110
     458    70    46  01000110
     459    71    47  01000111
     460    71    47  01000111
     461    70    46  01000110
     462    70    46  01000110
     463    71    47  01000111
     464    71    47  01000111
     465    70    46  01000110
     466    70    46  01000110
     467    71    47  01000111
     468    71    47  01000111
     469    70    46  01000110
     470    70    46  01000110
     471    71    47  01000111
     472    71    47  01000111
     473    70    46  01000110
     474    70    46  01000110
     475    71    47  01000111
     476    71    47  01000111
     477    70    46  01000110
     478    70    46  01000110
     479    70    46  01000110
     480    71    47  01000111
     481    70    46  01000110
     482    70    46  01000110
