File: CAP_5_00_00_13_53_56.bin  (131072 bytes, 131072 samples)

   Index   Dec   Hex         Bin
     279    68    44  01000100
     280    68    44  01000100
     281    68    44  01000100
     282    68    44  01000100
     283    69    45  01000101
     284    68    44  01000100
     285    68    44  01000100
     286    68    44  01000100
     287    68    44  01000100
     288    68    44  01000100
     289    68    44  01000100
     290    68    44  01000100
     291    69    45  01000101
     292    68    44  01000100
     293    68    44  01000100
     294    68    44  01000100
     295    69    45  01000101
     296    68    44  01000100
     297    68    44  01000100
     298    68    44  01000100
     299    69    45  01000101
     300    68    44  01000100
     301    68    44  01000100
     302    68    44  01000100
     303    69    45  01000101
     304    68    44  01000100
     305    68    44  01000100
     306    68    44  01000100
     307    69    45  01000101
     308    68    44  01000100
     309    68    44  01000100
     310    68    44  01000100
     311    68    44  01000100
     312    68    44  01000100
     313    68    44  01000100
     314    68    44  01000100
     315    69    45  01000101
     316    68    44  01000100
     317    68    44  01000100
     318    68    44  01000100
     319    69    45  01000101
     320    69    45  01000101
     321    68    44  01000100
     322    68    44  01000100
     323    69    45  01000101
     324    68    44  01000100
     325    68    44  01000100
     326    68    44  01000100
     327    69    45  01000101
     328    69    45  01000101
     329    68    44  01000100
     330    68    44  01000100
     331    69    45  01000101
     332    68    44  01000100
     333    68    44  01000100
     334    68    44  01000100
     335    69    45  01000101
     336    68    44  01000100
     337    68    44  01000100
     338    68    44  01000100
     339    69    45  01000101
     340    68    44  01000100
     341    68    44  01000100
     342    68    44  01000100
     343    69    45  01000101
     344    69    45  01000101
     345    68    44  01000100
     346    68    44  01000100
     347    69    45  01000101
     348    68    44  01000100
     349    68    44  01000100
     350    68    44  01000100
     351    69    45  01000101
     352    69    45  01000101
     353    68    44  01000100
     354    68    44  01000100
     355    69    45  01000101
     356    68    44  01000100
     357    68    44  01000100
     358    68    44  01000100
     359    69    45  01000101
     360    68    44  01000100
     361    68    44  01000100
     362    68    44  01000100
     363    69    45  01000101
     364    68    44  01000100
     365    68    44  01000100
     366    68    44  01000100
     367    69    45  01000101
     368    68    44  01000100
     369    68    44  01000100
     370    68    44  01000100
     371    69    45  01000101
     372    68    44  01000100
     373    68    44  01000100
     374    68    44  01000100
     375    69    45  01000101
     376    68    44  01000100
     377    68    44  01000100
     378    68    44  01000100
     379    69    45  01000101
     380    68    44  01000100
     381    68    44  01000100
     382    68    44  01000100
     383    69    45  01000101
     384    68    44  01000100
     385    68    44  01000100
     386    68    44  01000100
     387    69    45  01000101
     388    68    44  01000100
     389    68    44  01000100
     390    68    44  01000100
     391    69    45  01000101
     392    68    44  01000100
     393    68    44  01000100
     394    68    44  01000100
     395    69    45  01000101
     396    68    44  01000100
     397    68    44  01000100
     398    68    44  01000100
     399    69    45  01000101
     400    68    44  01000100
     401    68    44  01000100
     402    68    44  01000100
     403    69    45  01000101
     404    68    44  01000100
     405    68    44  01000100
     406    68    44  01000100
     407    69    45  01000101
     408    68    44  01000100
     409    68    44  01000100
     410    68    44  01000100
     411    69    45  01000101
     412    68    44  01000100
     413    68    44  01000100
