File: CAP_2_00_00_13_53_56.bin  (131072 bytes, 131072 samples)

   Index   Dec   Hex         Bin
----------------------------------
       0   175    af  10101111
       1   190    be  10111110
       2   190    be  10111110
       3   190    be  10111110
       4    63    3f  00111111
       5   224    e0  11100000
       6     7     7  00000111
       7   221    dd  11011101
       8   247    f7  11110111
       9     0     0  00000000
      10   254    fe  11111110
      11   251    fb  11111011
      12   247    f7  11110111
      13   255    ff  11111111
      14   254    fe  11111110
      15   119    77  01110111
      16   247    f7  11110111
      17   255    ff  11111111
      18   255    ff  11111111
      19   254    fe  11111110
      20   247    f7  11110111
      21   255    ff  11111111
      22   253    fd  11111101
      23     0     0  00000000
      24   247    f7  11110111
      25   255    ff  11111111
      26   254    fe  11111110
      27   249    f9  11111001
      28   247    f7  11110111
      29   255    ff  11111111
      30   253    fd  11111101
      31   249    f9  11111001
      32   247    f7  11110111
      33   255    ff  11111111
      34   254    fe  11111110
      35   249    f9  11111001
      36   247    f7  11110111
      37   255    ff  11111111
      38   253    fd  11111101
      39   249    f9  11111001
      40   247    f7  11110111
      41   255    ff  11111111
      42   253    fd  11111101
      43   249    f9  11111001
      44   247    f7  11110111
      45   255    ff  11111111
      46   253    fd  11111101
      47   249    f9  11111001
      48   247    f7  11110111
      49   255    ff  11111111
      50   253    fd  11111101
      51   249    f9  11111001
      52   255    ff  11111111
      53   255    ff  11111111
      54   253    fd  11111101
      55   249    f9  11111001
      56   239    ef  11101111
      57   255    ff  11111111
      58   253    fd  11111101
      59   249    f9  11111001
      60    87    57  01010111
      61    88    58  01011000
      62   207    cf  11001111
      63   143    8f  10001111
      64    87    57  01010111
      65    88    58  01011000
      66    90    5a  01011010
      67    90    5a  01011010
      68    84    54  01010100
      69    85    55  01010101
      70    85    55  01010101
      71    87    57  01010111
      72    83    53  01010011
      73    83    53  01010011
      74    83    53  01010011
      75    84    54  01010100
      76    81    51  01010001
      77    81    51  01010001
      78    82    52  01010010
      79    82    52  01010010
      80    81    51  01010001
      81    81    51  01010001
      82    81    51  01010001
      83    81    51  01010001
      84    80    50  01010000
      85    80    50  01010000
      86    80    50  01010000
      87    81    51  01010001
      88    80    50  01010000
      89    80    50  01010000
      90    80    50  01010000
      91    80    50  01010000
      92    79    4f  01001111
      93    79    4f  01001111
      94    80    50  01010000
      95    80    50  01010000
      96    77    4d  01001101
      97    78    4e  01001110
      98    79    4f  01001111
      99    79    4f  01001111
     100    75    4b  01001011
     101    75    4b  01001011
     102    76    4c  01001100
     103    76    4c  01001100
     104    74    4a  01001010
     105    74    4a  01001010
     106    74    4a  01001010
     107    75    4b  01001011
     108    73    49  01001001
     109    73    49  01001001
     110    73    49  01001001
     111    73    49  01001001
     112    72    48  01001000
     113    72    48  01001000
     114    73    49  01001001
     115    73    49  01001001
     116    71    47  01000111
     117    72    48  01001000
     118    72    48  01001000
     119    72    48  01001000
     120    71    47  01000111
     121    71    47  01000111
     122    71    47  01000111
     123    72    48  01001000
     124    71    47  01000111
     125    71    47  01000111
     126    71    47  01000111
     127    72    48  01001000
     128    71    47  01000111
     129    71    47  01000111
     130    71    47  01000111
     131    72    48  01001000
     132    71    47  01000111
     133    71    47  01000111
     134    71    47  01000111
     135    71    47  01000111
     136    71    47  01000111
     137    71    47  01000111
     138    71    47  01000111
     139    71    47  01000111
     140    71    47  01000111
     141    71    47  01000111
     142    71    47  01000111
     143    71    47  01000111
     144    71    47  01000111
     145    71    47  01000111
     146    71    47  01000111
     147    71    47  01000111
     148    71    47  01000111
     149    71    47  01000111
     150    71    47  01000111
     151    71    47  01000111
     152    71    47  01000111
     153    71    47  01000111
     154    71    47  01000111
     155    71    47  01000111
     156    71    47  01000111
     157    71    47  01000111
     158    71    47  01000111
     159    71    47  01000111
     160    71    47  01000111
     161    71    47  01000111
     162    71    47  01000111
