File: CAP_6_00_00_13_53_56.bin  (131072 bytes, 131072 samples)

   Index   Dec   Hex         Bin
----------------------------------
       0   157    9d  10011101
       1   165    a5  10100101
       2   165    a5  10100101
       3   165    a5  10100101
       4   208    d0  11010000
       5   144    90  10010000
       6   127    7f  01111111
       7   255    ff  11111111
       8     0     0  00000000
       9     0     0  00000000
      10   254    fe  11111110
      11   239    ef  11101111
      12   255    ff  11111111
      13   255    ff  11111111
      14   254    fe  11111110
      15     0     0  00000000
      16   255    ff  11111111
      17   255    ff  11111111
      18   255    ff  11111111
      19   255    ff  11111111
      20   255    ff  11111111
      21   255    ff  11111111
      22   255    ff  11111111
      23     0     0  00000000
      24   255    ff  11111111
      25   255    ff  11111111
      26   255    ff  11111111
      27   239    ef  11101111
      28   255    ff  11111111
      29   239    ef  11101111
      30   255    ff  11111111
      31   239    ef  11101111
      32   255    ff  11111111
      33   255    ff  11111111
      34   255    ff  11111111
      35   239    ef  11101111
      36   255    ff  11111111
      37   239    ef  11101111
      38   255    ff  11111111
      39   239    ef  11101111
      40   255    ff  11111111
      41   255    ff  11111111
      42   255    ff  11111111
      43   239    ef  11101111
      44   255    ff  11111111
      45   255    ff  11111111
      46   255    ff  11111111
      47   239    ef  11101111
      48   255    ff  11111111
      49   239    ef  11101111
      50   255    ff  11111111
      51   239    ef  11101111
      52   255    ff  11111111
      53   255    ff  11111111
      54   255    ff  11111111
      55   239    ef  11101111
      56   255    ff  11111111
      57   255    ff  11111111
      58   255    ff  11111111
      59   239    ef  11101111
      60   144    90  10010000
      61   143    8f  10001111
      62   237    ed  11101101
      63   143    8f  10001111
      64   144    90  10010000
      65   145    91  10010001
      66   145    91  10010001
      67   145    91  10010001
      68   145    91  10010001
      69   145    91  10010001
      70   145    91  10010001
      71   145    91  10010001
      72   145    91  10010001
      73   145    91  10010001
      74   145    91  10010001
      75   145    91  10010001
      76   144    90  10010000
      77   145    91  10010001
      78   145    91  10010001
      79   145    91  10010001
      80   144    90  10010000
      81   144    90  10010000
      82   145    91  10010001
      83   145    91  10010001
      84   144    90  10010000
      85   144    90  10010000
      86   144    90  10010000
      87   145    91  10010001
      88   144    90  10010000
      89   144    90  10010000
      90   144    90  10010000
      91   145    91  10010001
      92   144    90  10010000
      93   144    90  10010000
      94   144    90  10010000
      95   144    90  10010000
      96   144    90  10010000
      97   144    90  10010000
      98   144    90  10010000
      99   144    90  10010000
     100   144    90  10010000
     101   144    90  10010000
     102   144    90  10010000
     103   144    90  10010000
     104   143    8f  10001111
     105   144    90  10010000
     106   144    90  10010000
     107   144    90  10010000
     108   143    8f  10001111
     109   144    90  10010000
     110   144    90  10010000
     111   144    90  10010000
     112   143    8f  10001111
     113   143    8f  10001111
     114   143    8f  10001111
     115   143    8f  10001111
     116   143    8f  10001111
     117   143    8f  10001111
     118   143    8f  10001111
     119   143    8f  10001111
     120   143    8f  10001111
     121   143    8f  10001111
     122   143    8f  10001111
     123   144    90  10010000
     124   142    8e  10001110
     125   142    8e  10001110
     126   143    8f  10001111
     127   143    8f  10001111
     128   142    8e  10001110
     129   142    8e  10001110
     130   142    8e  10001110
     131   143    8f  10001111
     132   142    8e  10001110
     133   142    8e  10001110
     134   142    8e  10001110
     135   142    8e  10001110
     136   142    8e  10001110
     137   142    8e  10001110
     138   142    8e  10001110
     139   142    8e  10001110
     140   142    8e  10001110
     141   142    8e  10001110
     142   142    8e  10001110
     143   142    8e  10001110
     144   141    8d  10001101
     145   142    8e  10001110
     146   141    8d  10001101
     147   142    8e  10001110
     148   141    8d  10001101
     149   141    8d  10001101
     150   141    8d  10001101
     151   142    8e  10001110
     152   141    8d  10001101
     153   141    8d  10001101
     154   141    8d  10001101
     155   141    8d  10001101
     156   141    8d  10001101
     157   141    8d  10001101
     158   141    8d  10001101
     159   141    8d  10001101
     160   141    8d  10001101
     161   141    8d  10001101
     162   141    8d  10001101
     163   140    8c  10001100
     164   141    8d  10001101
     165   140    8c  10001100
     166   140    8c  10001100
     167   141    8d  10001101
     168   140    8c  10001100
     169   140    8c  10001100
     170   140    8c  10001100
     171   140    8c  10001100
     172   140    8c  10001100
     173   140    8c  10001100
     174   140    8c  10001100
     175   140    8c  10001100
     176   140    8c  10001100
     177   140    8c  10001100
     178   140    8c  10001100
     179   140    8c  10001100
     180   140    8c  10001100
     181   140    8c  10001100
     182   139    8b  10001011
     183   140    8c  10001100
     184   140    8c  10001100
     185   140    8c  10001100
     186   139    8b  10001011
     187   140    8c  10001100
     188   139    8b  10001011
     189   139    8b  10001011
     190   139    8b  10001011
     191   140    8c  10001100
     192   139    8b  10001011
     193   139    8b  10001011
     194   139    8b  10001011
     195   139    8b  10001011
     196   139    8b  10001011
     197   139    8b  10001011
     198   139    8b  10001011
     199   139    8b  10001011
     200   138    8a  10001010
     201   139    8b  10001011
     202   138    8a  10001010
     203   139    8b  10001011
     204   138    8a  10001010
     205   139    8b  10001011
     206   138    8a  10001010
     207   139    8b  10001011
     208   138    8a  10001010
     209   138    8a  10001010
     210   138    8a  10001010
     211   138    8a  10001010
     212   138    8a  10001010
     213   138    8a  10001010
     214   138    8a  10001010
     215   139    8b  10001011
     216   138    8a  10001010
     217   138    8a  10001010
     218   138    8a  10001010
     219   138    8a  10001010
     220   138    8a  10001010
     221   138    8a  10001010
     222   138    8a  10001010
     223   138    8a  10001010
     224   137    89  10001001
     225   138    8a  10001010
     226   138    8a  10001010
     227   137    89  10001001
     228   137    89  10001001
     229   137    89  10001001
     230   137    89  10001001
     231   137    89  10001001
     232   137    89  10001001
     233   137    89  10001001
     234   137    89  10001001
     235   137    89  10001001
     236   137    89  10001001
     237   137    89  10001001
     238   137    89  10001001
     239   137    89  10001001
     240   136    88  10001000
     241   137    89  10001001
     242   137    89  10001001
     243   137    89  10001001
     244   136    88  10001000
     245   136    88  10001000
     246   137    89  10001001
     247   137    89  10001001
     248   136    88  10001000
     249   136    88  10001000
     250   137    89  10001001
     251   136    88  10001000
     252   136    88  10001000
     253   136    88  10001000
     254   136    88  10001000
     255   136    88  10001000
     256   136    88  10001000
     257   136    88  10001000
     258   136    88  10001000
     259   136    88  10001000
     260   136    88  10001000
     261   136    88  10001000
     262   136    88  10001000
     263   136    88  10001000
     264   135    87  10000111
     265   136    88  10001000
     266   136    88  10001000
     267   136    88  10001000
     268   135    87  10000111
     269   135    87  10000111
     270   135    87  10000111
     271   136    88  10001000
     272   135    87  10000111
     273   135    87  10000111
     274   135    87  10000111
     275   135    87  10000111
     276   135    87  10000111
     277   135    87  10000111
     278   135    87  10000111
     279   135    87  10000111
     280   135    87  10000111
     281   135    87  10000111
     282   135    87  10000111
     283   135    87  10000111
     284   135    87  10000111
     285   135    87  10000111
