File: CAP_8_00_00_13_53_56.bin  (131072 bytes, 131072 samples)

   Index   Dec   Hex         Bin
----------------------------------
       0   188    bc  10111100
       1    57    39  00111001
       2    57    39  00111001
       3    57    39  00111001
       4    16    10  00010000
       5     0     0  00000000
       6   239    ef  11101111
       7   255    ff  11111111
       8     0     0  00000000
       9     0     0  00000000
      10   255    ff  11111111
      11    48    30  00110000
      12   247    f7  11110111
      13   255    ff  11111111
      14     0     0  00000000
      15   253    fd  11111101
      16   247    f7  11110111
      17     0     0  00000000
      18   248    f8  11111000
      19   247    f7  11110111
      20   243    f3  11110011
      21   254    fe  11111110
      22   248    f8  11111000
      23   255    ff  11111111
      24   243    f3  11110011
      25   251    fb  11111011
      26   248    f8  11111000
      27   247    f7  11110111
      28   247    f7  11110111
      29   253    fd  11111101
      30   239    ef  11101111
      31   247    f7  11110111
      32   247    f7  11110111
      33   251    fb  11111011
      34   248    f8  11111000
      35   247    f7  11110111
      36   255    ff  11111111
      37   251    fb  11111011
      38   248    f8  11111000
      39   247    f7  11110111
      40   255    ff  11111111
      41   254    fe  11111110
      42   239    ef  11101111
      43   247    f7  11110111
      44   255    ff  11111111
      45   255    ff  11111111
      46   240    f0  11110000
      47   247    f7  11110111
      48   255    ff  11111111
      49   255    ff  11111111
      50   248    f8  11111000
      51   247    f7  11110111
      52   255    ff  11111111
      53   255    ff  11111111
      54   239    ef  11101111
      55   247    f7  11110111
      56   239    ef  11101111
      57   255    ff  11111111
      58   248    f8  11111000
      59   247    f7  11110111
      60   120    78  01111000
      61   121    79  01111001
      62   127    7f  01111111
      63   119    77  01110111
      64   134    86  10000110
      65   123    7b  01111011
      66    86    56  01010110
      67    97    61  01100001
      68   141    8d  10001101
      69   118    76  01110110
      70    93    5d  01011101
      71   112    70  01110000
      72   146    92  10010010
      73   117    75  01110101
      74    94    5e  01011110
      75   119    77  01110111
      76   146    92  10010010
      77   109    6d  01101101
      78    98    62  01100010
      79   129    81  10000001
      80   144    90  10010000
      81   104    68  01101000
      82   102    66  01100110
      83   132    84  10000100
      84   134    86  10000110
      85    95    5f  01011111
      86   109    6d  01101101
      87   142    8e  10001110
      88   119    77  01110111
      89    89    59  01011001
      90   108    6c  01101100
      91   141    8d  10001101
      92   106    6a  01101010
      93    85    55  01010101
      94   111    6f  01101111
      95   141    8d  10001101
      96   103    67  01100111
      97    88    58  01011000
      98   116    74  01110100
      99   138    8a  10001010
     100    94    5e  01011110
     101    96    60  01100000
     102   128    80  10000000
     103   142    8e  10001110
     104    88    58  01011000
     105   100    64  01100100
     106   134    86  10000110
     107   137    89  10001001
     108    78    4e  01001110
     109   103    67  01100111
     110   137    89  10001001
     111   128    80  10000000
     112    76    4c  01001100
     113   102    66  01100110
     114   131    83  10000011
     115   111    6f  01101111
     116    83    53  01010011
     117   113    71  01110001
     118   132    84  10000100
     119    98    62  01100010
     120    93    5d  01011101
     121   127    7f  01111111
     122   138    8a  10001010
     123    94    5e  01011110
     124   103    67  01100111
     125   137    89  10001001
     126   134    86  10000110
     127    91    5b  01011011
     128   107    6b  01101011
     129   140    8c  10001100
     130   126    7e  01111110
     131    86    56  01010110
     132   127    7f  01111111
     133   148    94  10010100
     134   114    72  01110010
     135    86    56  01010110
     136   144    90  10010000
     137   157    9d  10011101
     138   112    70  01110000
     139    98    62  01100010
     140   159    9f  10011111
     141   161    a1  10100001
     142   114    72  01110010
     143   112    70  01110000
     144   174    ae  10101110
     145   161    a1  10100001
     146   120    78  01111000
     147   127    7f  01111111
     148   178    b2  10110010
     149   158    9e  10011110
     150   122    7a  01111010
     151   141    8d  10001101
     152   182    b6  10110110
     153   142    8e  10001110
     154   124    7c  01111100
     155   147    93  10010011
     156   174    ae  10101110
     157   136    88  10001000
     158   128    80  10000000
     159   161    a1  10100001
     160   170    aa  10101010
     161   124    7c  01111100
     162   134    86  10000110
     163   167    a7  10100111
     164   157    9d  10011101
     165   119    77  01110111
     166   133    85  10000101
     167   170    aa  10101010
     168   143    8f  10001111
     169   105    69  01101001
     170   130    82  10000010
     171   164    a4  10100100
     172   114    72  01110010
     173    96    60  01100000
     174   127    7f  01111111
     175   159    9f  10011111
     176   100    64  01100100
     177    85    55  01010101
     178   119    77  01110111
     179   144    90  10010000
     180    81    51  01010001
     181    79    4f  01001111
     182   111    6f  01101111
     183   129    81  10000001
     184    78    4e  01001110
     185    83    53  01010011
     186   116    74  01110100
     187   128    80  10000000
     188    76    4c  01001100
     189    89    59  01011001
     190   126    7e  01111110
     191   118    76  01110110
     192    79    4f  01001111
     193   105    69  01101001
     194   134    86  10000110
     195   113    71  01110001
     196    89    59  01011001
     197   115    73  01110011
     198   141    8d  10001101
     199   101    65  01100101
     200    99    63  01100011
     201   136    88  10001000
     202   146    92  10010010
     203   104    68  01101000
     204   111    6f  01101111
     205   143    8f  10001111
     206   145    91  10010001
     207    98    62  01100010
     208   120    78  01111000
     209   157    9d  10011101
     210   139    8b  10001011
     211   100    64  01100100
     212   135    87  10000111
     213   162    a2  10100010
     214   133    85  10000101
     215   102    66  01100110
     216   143    8f  10001111
     217   165    a5  10100101
     218   126    7e  01111110
     219   109    6d  01101101
     220   156    9c  10011100
     221   162    a2  10100010
     222   118    76  01110110
     223   115    73  01110011
     224   159    9f  10011111
     225   150    96  10010110
     226   112    70  01110000
     227   119    77  01110111
     228   160    a0  10100000
     229   137    89  10001001
     230   105    69  01101001
     231   128    80  10000000
     232   164    a4  10100100
     233   125    7d  01111101
     234   105    69  01101001
     235   128    80  10000000
     236   159    9f  10011111
     237   121    79  01111001
     238   111    6f  01101111
     239   144    90  10010000
     240   149    95  10010101
     241   108    6c  01101100
     242   113    71  01110001
     243   147    93  10010011
     244   122    7a  01111010
     245    91    5b  01011011
     246   110    6e  01101110
     247   149    95  10010101
     248   110    6e  01101110
     249    78    4e  01001110
     250   104    68  01101000
     251   138    8a  10001010
     252    89    59  01011001
     253    73    49  01001001
     254   104    68  01101000
     255   131    83  10000011
     256    84    54  01010100
     257    75    4b  01001011
     258   109    6d  01101101
     259   130    82  10000010
     260    74    4a  01001010
     261    78    4e  01001110
     262   116    74  01110100
     263   123    7b  01111011
     264    74    4a  01001010
     265    87    57  01010111
     266   120    78  01111000
     267   120    78  01111000
     268    77    4d  01001101
     269    96    60  01100000
     270   130    82  10000010
     271   112    70  01110000
     272    85    55  01010101
     273   112    70  01110000
     274   138    8a  10001010
     275   111    6f  01101111
     276    96    60  01100000
     277   127    7f  01111111
     278   142    8e  10001110
     279    98    62  01100010
     280    99    63  01100011
     281   137    89  10001001
     282   136    88  10001000
     283    96    60  01100000
     284   110    6e  01101110
     285   138    8a  10001010
     286   125    7d  01111101
     287    83    53  01010011
     288   121    79  01111001
     289   151    97  10010111
     290   122    7a  01111010
     291    90    5a  01011010
     292   140    8c  10001100
     293   158    9e  10011110
     294   117    75  01110101
     295    97    61  01100001
     296   144    90  10010000
     297   155    9b  10011011
     298   112    70  01110000
     299   106    6a  01101010
     300   159    9f  10011111
     301   154    9a  10011010
     302   108    6c  01101100
     303   114    72  01110010
     304   164    a4  10100100
     305   145    91  10010001
