File: CAP_3_00_00_13_53_56.bin  (131072 bytes, 131072 samples)

   Index   Dec   Hex         Bin
----------------------------------
       0    33    21  00100001
       1    41    29  00101001
       2    41    29  00101001
       3    41    29  00101001
       4   143    8f  10001111
       5   255    ff  11111111
       6   251    fb  11111011
       7   255    ff  11111111
       8   246    f6  11110110
       9     0     0  00000000
      10   114    72  01110010
      11   239    ef  11101111
      12   246    f6  11110110
      13   255    ff  11111111
      14     0     0  00000000
      15     0     0  00000000
      16   247    f7  11110111
      17     0     0  00000000
      18   251    fb  11111011
      19   240    f0  11110000
      20   255    ff  11111111
      21   255    ff  11111111
      22   251    fb  11111011
      23   252    fc  11111100
      24   255    ff  11111111
      25   241    f1  11110001
      26   251    fb  11111011
      27   252    fc  11111100
      28   255    ff  11111111
      29   255    ff  11111111
      30   251    fb  11111011
      31   252    fc  11111100
      32   255    ff  11111111
      33   255    ff  11111111
      34   251    fb  11111011
      35   252    fc  11111100
      36   255    ff  11111111
      37   255    ff  11111111
      38   251    fb  11111011
      39   252    fc  11111100
      40   255    ff  11111111
      41   241    f1  11110001
      42   251    fb  11111011
      43   252    fc  11111100
      44   255    ff  11111111
      45   255    ff  11111111
      46   251    fb  11111011
      47   252    fc  11111100
      48   255    ff  11111111
      49   255    ff  11111111
      50   251    fb  11111011
      51   252    fc  11111100
      52   255    ff  11111111
      53   255    ff  11111111
      54   254    fe  11111110
      55   252    fc  11111100
      56   239    ef  11101111
      57   255    ff  11111111
      58   254    fe  11111110
      59   252    fc  11111100
      60    92    5c  01011100
      61    95    5f  01011111
      62   127    7f  01111111
      63   191    bf  10111111
      64    90    5a  01011010
      65    91    5b  01011011
      66    92    5c  01011100
      67    90    5a  01011010
      68    86    56  01010110
      69    86    56  01010110
      70    87    57  01010111
      71    88    58  01011000
      72    83    53  01010011
      73    83    53  01010011
      74    84    54  01010100
      75    84    54  01010100
      76    81    51  01010001
      77    81    51  01010001
      78    82    52  01010010
      79    82    52  01010010
      80    80    50  01010000
      81    80    50  01010000
      82    81    51  01010001
      83    80    50  01010000
      84    79    4f  01001111
      85    79    4f  01001111
      86    80    50  01010000
      87    80    50  01010000
      88    75    4b  01001011
      89    76    4c  01001100
      90    77    4d  01001101
      91    78    4e  01001110
      92    73    49  01001001
      93    73    49  01001001
      94    74    4a  01001010
      95    74    4a  01001010
      96    71    47  01000111
      97    72    48  01001000
      98    72    48  01001000
      99    72    48  01001000
     100    70    46  01000110
     101    70    46  01000110
     102    71    47  01000111
     103    71    47  01000111
     104    70    46  01000110
     105    70    46  01000110
     106    70    46  01000110
     107    70    46  01000110
     108    69    45  01000101
     109    69    45  01000101
     110    69    45  01000101
     111    69    45  01000101
     112    69    45  01000101
     113    69    45  01000101
     114    69    45  01000101
     115    69    45  01000101
     116    69    45  01000101
     117    68    44  01000100
     118    69    45  01000101
     119    69    45  01000101
     120    69    45  01000101
     121    68    44  01000100
     122    69    45  01000101
     123    68    44  01000100
     124    69    45  01000101
     125    68    44  01000100
     126    68    44  01000100
     127    68    44  01000100
     128    68    44  01000100
     129    68    44  01000100
     130    68    44  01000100
     131    68    44  01000100
     132    68    44  01000100
     133    68    44  01000100
     134    68    44  01000100
     135    68    44  01000100
     136    69    45  01000101
     137    68    44  01000100
     138    68    44  01000100
     139    68    44  01000100
     140    68    44  01000100
     141    68    44  01000100
     142    68    44  01000100
     143    68    44  01000100
     144    69    45  01000101
     145    68    44  01000100
     146    68    44  01000100
     147    68    44  01000100
     148    69    45  01000101
     149    68    44  01000100
     150    68    44  01000100
     151    68    44  01000100
     152    69    45  01000101
     153    68    44  01000100
     154    68    44  01000100
     155    68    44  01000100
     156    68    44  01000100
     157    68    44  01000100
     158    68    44  01000100
     159    68    44  01000100
     160    69    45  01000101
     161    68    44  01000100
     162    68    44  01000100
     163    68    44  01000100
     164    68    44  01000100
     165    68    44  01000100
     166    68    44  01000100
     167    68    44  01000100
     168    69    45  01000101
     169    68    44  01000100
     170    68    44  01000100
     171    68    44  01000100
     172    68    44  01000100
     173    68    44  01000100
     174    68    44  01000100
     175    68    44  01000100
     176    69    45  01000101
     177    68    44  01000100
     178    68    44  01000100
     179    68    44  01000100
     180    68    44  01000100
     181    68    44  01000100
     182    68    44  01000100
     183    68    44  01000100
     184    69    45  01000101
     185    68    44  01000100
     186    68    44  01000100
     187    68    44  01000100
     188    68    44  01000100
     189    68    44  01000100
     190    68    44  01000100
     191    68    44  01000100
     192    69    45  01000101
     193    68    44  01000100
     194    68    44  01000100
     195    68    44  01000100
     196    68    44  01000100
     197    68    44  01000100
     198    68    44  01000100
     199    68    44  01000100
     200    69    45  01000101
     201    68    44  01000100
     202    68    44  01000100
     203    68    44  01000100
     204    69    45  01000101
     205    68    44  01000100
     206    68    44  01000100
     207    68    44  01000100
     208    69    45  01000101
     209    68    44  01000100
     210    68    44  01000100
     211    68    44  01000100
     212    69    45  01000101
     213    68    44  01000100
     214    69    45  01000101
     215    68    44  01000100
     216    69    45  01000101
     217    68    44  01000100
     218    68    44  01000100
     219    68    44  01000100
     220    69    45  01000101
     221    68    44  01000100
     222    68    44  01000100
     223    68    44  01000100
     224    69    45  01000101
     225    68    44  01000100
     226    68    44  01000100
     227    68    44  01000100
     228    69    45  01000101
     229    68    44  01000100
     230    69    45  01000101
     231    68    44  01000100
     232    69    45  01000101
     233    68    44  01000100
     234    68    44  01000100
     235    68    44  01000100
     236    69    45  01000101
     237    68    44  01000100
     238    69    45  01000101
     239    68    44  01000100
     240    69    45  01000101
     241    68    44  01000100
     242    68    44  01000100
     243    68    44  01000100
     244    69    45  01000101
     245    68    44  01000100
     246    68    44  01000100
     247    68    44  01000100
     248    69    45  01000101
     249    68    44  01000100
     250    68    44  01000100
     251    68    44  01000100
     252    69    45  01000101
     253    68    44  01000100
     254    68    44  01000100
     255    68    44  01000100
     256    69    45  01000101
     257    68    44  01000100
     258    68    44  01000100
     259    68    44  01000100
     260    69    45  01000101
     261    68    44  01000100
     262    68    44  01000100
     263    68    44  01000100
     264    69    45  01000101
     265    68    44  01000100
     266    68    44  01000100
     267    68    44  01000100
     268    69    45  01000101
     269    68    44  01000100
     270    68    44  01000100
     271    68    44  01000100
     272    69    45  01000101
     273    68    44  01000100
     274    68    44  01000100
     275    68    44  01000100
     276    69    45  01000101
     277    68    44  01000100
     278    68    44  01000100
     279    68    44  01000100
     280    69    45  01000101
     281    68    44  01000100
     282    68    44  01000100
     283    68    44  01000100
     284    69    45  01000101
     285    68    44  01000100
     286    68    44  01000100
     287    68    44  01000100
     288    69    45  01000101
     289    68    44  01000100
     290    68    44  01000100
     291    68    44  01000100
     292    69    45  01000101
     293    68    44  01000100
     294    68    44  01000100
     295    68    44  01000100
     296    69    45  01000101
     297    68    44  01000100
     298    68    44  01000100
     299    68    44  01000100
     300    69    45  01000101
     301    68    44  01000100
