File: CAP_4_00_00_13_53_56.bin  (131072 bytes, 131072 samples)

   Index   Dec   Hex         Bin
----------------------------------
       0   237    ed  11101101
       1   159    9f  10011111
       2   159    9f  10011111
       3   159    9f  10011111
       4   144    90  10010000
       5   127    7f  01111111
       6   169    a9  10101001
       7    63    3f  00111111
       8   241    f1  11110001
       9    17    11  00010001
      10   255    ff  11111111
      11   239    ef  11101111
      12   253    fd  11111101
      13   255    ff  11111111
      14     0     0  00000000
      15     0     0  00000000
      16   255    ff  11111111
      17   246    f6  11110110
      18   239    ef  11101111
      19   255    ff  11111111
      20   253    fd  11111101
      21   246    f6  11110110
      22   239    ef  11101111
      23   248    f8  11111000
      24   253    fd  11111101
      25   255    ff  11111111
      26   239    ef  11101111
      27   248    f8  11111000
      28   253    fd  11111101
      29   255    ff  11111111
      30   239    ef  11101111
      31   255    ff  11111111
      32   253    fd  11111101
      33   255    ff  11111111
      34   239    ef  11101111
      35   248    f8  11111000
      36   253    fd  11111101
      37   255    ff  11111111
      38   239    ef  11101111
      39   255    ff  11111111
      40   253    fd  11111101
      41   255    ff  11111111
      42   239    ef  11101111
      43   255    ff  11111111
      44   253    fd  11111101
      45   255    ff  11111111
      46   239    ef  11101111
      47   255    ff  11111111
      48   253    fd  11111101
      49   255    ff  11111111
      50   239    ef  11101111
      51   255    ff  11111111
      52   253    fd  11111101
      53   255    ff  11111111
      54   254    fe  11111110
      55   255    ff  11111111
      56   207    cf  11001111
      57   239    ef  11101111
      58   239    ef  11101111
      59   255    ff  11111111
      60    96    60  01100000
      61    95    5f  01011111
      62    96    60  01100000
      63   111    6f  01101111
      64    92    5c  01011100
      65    93    5d  01011101
      66    94    5e  01011110
      67    95    5f  01011111
      68    88    58  01011000
      69    88    58  01011000
      70    89    59  01011001
      71    90    5a  01011010
      72    84    54  01010100
      73    85    55  01010101
      74    86    56  01010110
      75    87    57  01010111
      76    83    53  01010011
      77    83    53  01010011
      78    84    54  01010100
      79    84    54  01010100
      80    81    51  01010001
      81    81    51  01010001
      82    82    52  01010010
      83    82    52  01010010
      84    81    51  01010001
      85    81    51  01010001
      86    80    50  01010000
      87    80    50  01010000
      88    80    50  01010000
      89    80    50  01010000
      90    80    50  01010000
      91    80    50  01010000
      92    78    4e  01001110
      93    79    4f  01001111
      94    79    4f  01001111
      95    79    4f  01001111
      96    76    4c  01001100
      97    77    4d  01001101
      98    78    4e  01001110
      99    77    4d  01001101
     100    74    4a  01001010
     101    74    4a  01001010
     102    76    4c  01001100
     103    75    4b  01001011
     104    73    49  01001001
     105    73    49  01001001
     106    73    49  01001001
     107    74    4a  01001010
     108    72    48  01001000
     109    72    48  01001000
     110    73    49  01001001
     111    72    48  01001000
     112    71    47  01000111
     113    71    47  01000111
     114    72    48  01001000
     115    72    48  01001000
     116    71    47  01000111
     117    71    47  01000111
     118    72    48  01001000
     119    71    47  01000111
     120    71    47  01000111
     121    71    47  01000111
     122    71    47  01000111
     123    71    47  01000111
     124    71    47  01000111
     125    71    47  01000111
     126    71    47  01000111
     127    70    46  01000110
     128    71    47  01000111
     129    70    46  01000110
     130    71    47  01000111
     131    71    47  01000111
     132    71    47  01000111
     133    70    46  01000110
     134    71    47  01000111
     135    71    47  01000111
     136    71    47  01000111
     137    70    46  01000110
     138    71    47  01000111
     139    71    47  01000111
     140    70    46  01000110
     141    70    46  01000110
     142    70    46  01000110
     143    71    47  01000111
     144    71    47  01000111
     145    70    46  01000110
     146    70    46  01000110
     147    71    47  01000111
     148    70    46  01000110
     149    70    46  01000110
     150    71    47  01000111
     151    70    46  01000110
     152    71    47  01000111
     153    70    46  01000110
     154    70    46  01000110
     155    71    47  01000111
     156    70    46  01000110
     157    70    46  01000110
     158    71    47  01000111
     159    70    46  01000110
     160    71    47  01000111
     161    70    46  01000110
     162    70    46  01000110
     163    71    47  01000111
     164    70    46  01000110
     165    70    46  01000110
     166    71    47  01000111
     167    71    47  01000111
     168    71    47  01000111
     169    70    46  01000110
     170    70    46  01000110
     171    71    47  01000111
     172    70    46  01000110
     173    70    46  01000110
     174    71    47  01000111
     175    70    46  01000110
     176    71    47  01000111
     177    70    46  01000110
     178    70    46  01000110
     179    71    47  01000111
     180    70    46  01000110
     181    70    46  01000110
     182    71    47  01000111
     183    70    46  01000110
     184    71    47  01000111
     185    70    46  01000110
     186    70    46  01000110
     187    70    46  01000110
     188    71    47  01000111
     189    70    46  01000110
     190    71    47  01000111
     191    70    46  01000110
     192    71    47  01000111
     193    70    46  01000110
     194    70    46  01000110
     195    71    47  01000111
     196    70    46  01000110
     197    70    46  01000110
     198    71    47  01000111
     199    70    46  01000110
     200    70    46  01000110
     201    70    46  01000110
     202    70    46  01000110
     203    71    47  01000111
     204    70    46  01000110
     205    70    46  01000110
     206    71    47  01000111
     207    70    46  01000110
     208    70    46  01000110
     209    70    46  01000110
     210    70    46  01000110
     211    70    46  01000110
     212    70    46  01000110
     213    70    46  01000110
     214    70    46  01000110
     215    70    46  01000110
     216    71    47  01000111
     217    70    46  01000110
     218    70    46  01000110
     219    70    46  01000110
     220    70    46  01000110
     221    70    46  01000110
     222    71    47  01000111
     223    70    46  01000110
     224    71    47  01000111
     225    70    46  01000110
     226    70    46  01000110
     227    71    47  01000111
     228    70    46  01000110
     229    70    46  01000110
     230    71    47  01000111
     231    70    46  01000110
     232    70    46  01000110
     233    70    46  01000110
     234    70    46  01000110
     235    71    47  01000111
     236    70    46  01000110
     237    70    46  01000110
     238    71    47  01000111
     239    70    46  01000110
     240    70    46  01000110
     241    70    46  01000110
     242    70    46  01000110
     243    70    46  01000110
     244    70    46  01000110
     245    70    46  01000110
     246    71    47  01000111
     247    70    46  01000110
     248    71    47  01000111
     249    70    46  01000110
     250    70    46  01000110
     251    71    47  01000111
     252    70    46  01000110
     253    70    46  01000110
     254    71    47  01000111
     255    70    46  01000110
     256    70    46  01000110
     257    70    46  01000110
     258    70    46  01000110
     259    71    47  01000111
     260    70    46  01000110
     261    70    46  01000110
     262    71    47  01000111
     263    70    46  01000110
     264    71    47  01000111
     265    70    46  01000110
     266    70    46  01000110
     267    71    47  01000111
     268    70    46  01000110
     269    70    46  01000110
     270    71    47  01000111
     271    70    46  01000110
     272    70    46  01000110
     273    70    46  01000110
     274    70    46  01000110
     275    71    47  01000111
     276    70    46  01000110
     277    70    46  01000110
     278    71    47  01000111
     279    70    46  01000110
     280    71    47  01000111
     281    70    46  01000110
     282    70    46  01000110
     283    71    47  01000111
     284    70    46  01000110
     285    70    46  01000110
     286    71    47  01000111
     287    70    46  01000110
     288    70    46  01000110
     289    70    46  01000110
     290    70    46  01000110
     291    71    47  01000111
     292    70    46  01000110
     293    70    46  01000110
     294    70    46  01000110
     295    70    46  01000110
     296    71    47  01000111
     297    70    46  01000110
     298    70    46  01000110
     299    71    47  01000111
     300    70    46  01000110
     301    70    46  01000110
     302    71    47  01000111
     303    70    46  01000110
     304    70    46  01000110
     305    70    46  01000110
     306    70    46  01000110
     307    71    47  01000111
     308    71    47  01000111
     309    70    46  01000110
     310    71    47  01000111
     311    70    46  01000110
     312    70    46  01000110
     313    70    46  01000110
     314    71    47  01000111
     315    71    47  01000111
     316    70    46  01000110
     317    70    46  01000110
     318    70    46  01000110
     319    70    46  01000110
     320    71    47  01000111
     321    70    46  01000110
     322    70    46  01000110
     323    70    46  01000110
     324    70    46  01000110
     325    70    46  01000110
     326    71    47  01000111
     327    70    46  01000110
     328    71    47  01000111
     329    70    46  01000110
     330    70    46  01000110
     331    71    47  01000111
     332    70    46  01000110
     333    70    46  01000110
     334    71    47  01000111
     335    70    46  01000110
     336    71    47  01000111
     337    70    46  01000110
     338    70    46  01000110
     339    71    47  01000111
     340    70    46  01000110
     341    70    46  01000110
     342    71    47  01000111
     343    70    46  01000110
     344    71    47  01000111
     345    70    46  01000110
     346    70    46  01000110
     347    71    47  01000111
     348    70    46  01000110
     349    70    46  01000110
     350    71    47  01000111
     351    70    46  01000110
     352    71    47  01000111
     353    70    46  01000110
     354    70    46  01000110
     355    71    47  01000111
     356    70    46  01000110
     357    70    46  01000110
     358    71    47  01000111
     359    71    47  01000111
     360    71    47  01000111
     361    70    46  01000110
     362    70    46  01000110
     363    71    47  01000111
     364    71    47  01000111
     365    70    46  01000110
     366    71    47  01000111
     367    70    46  01000110
     368    70    46  01000110
     369    70    46  01000110
     370    70    46  01000110
     371    71    47  01000111
     372    71    47  01000111
     373    70    46  01000110
     374    71    47  01000111
     375    70    46  01000110
     376    71    47  01000111
     377    70    46  01000110
     378    71    47  01000111
     379    71    47  01000111
     380    71    47  01000111
     381    70    46  01000110
     382    71    47  01000111
     383    70    46  01000110
     384    71    47  01000111
     385    70    46  01000110
     386    70    46  01000110
     387    71    47  01000111
     388    71    47  01000111
     389    70    46  01000110
     390    71    47  01000111
     391    70    46  01000110
     392    71    47  01000111
     393    70    46  01000110
     394    70    46  01000110
     395    71    47  01000111
     396    71    47  01000111
     397    70    46  01000110
     398    71    47  01000111
     399    70    46  01000110
     400    71    47  01000111
     401    70    46  01000110
     402    70    46  01000110
     403    71    47  01000111
     404    71    47  01000111
     405    70    46  01000110
     406    71    47  01000111
     407    70    46  01000110
     408    71    47  01000111
     409    70    46  01000110
     410    70    46  01000110
     411    71    47  01000111
     412    71    47  01000111
     413    70    46  01000110
     414    71    47  01000111
     415    71    47  01000111
     416    71    47  01000111
     417    70    46  01000110
     418    70    46  01000110
     419    71    47  01000111
     420    71    47  01000111
     421    70    46  01000110
     422    71    47  01000111
     423    70    46  01000110
     424    71    47  01000111
     425    70    46  01000110
     426    70    46  01000110
     427    71    47  01000111
     428    71    47  01000111
     429    70    46  01000110
     430    71    47  01000111
     431    70    46  01000110
     432    71    47  01000111
     433    70    46  01000110
     434    70    46  01000110
     435    71    47  01000111
     436    71    47  01000111
     437    70    46  01000110
     438    71    47  01000111
     439    71    47  01000111
     440    71    47  01000111
     441    70    46  01000110
     442    71    47  01000111
     443    71    47  01000111
     444    71    47  01000111
     445    70    46  01000110
     446    71    47  01000111
     447    70    46  01000110
     448    71    47  01000111
     449    70    46  01000110
     450    70    46  01000110
     451    71    47  01000111
     452    71    47  01000111
     453    70    46  01000110
     454    71    47  01000111
     455    70    46  01000110
     456    71    47  01000111
     457    70    46  01000110
     458    70    46  01000110
     459    71    47  01000111
     460    71    47  01000111
     461    70    46  01000110
     462    71    47  01000111
     463    70    46  01000110
     464    71    47  01000111
     465    70    46  01000110
     466    71    47  01000111
     467    71    47  01000111
     468    71    47  01000111
     469    70    46  01000110
     470    71    47  01000111
     471    70    46  01000110
     472    71    47  01000111
     473    70    46  01000110
     474    70    46  01000110
     475    71    47  01000111
     476    71    47  01000111
     477    70    46  01000110
     478    71    47  01000111
     479    70    46  01000110
     480    71    47  01000111
     481    70    46  01000110
     482    70    46  01000110
     483    71    47  01000111
     484    71    47  01000111
     485    70    46  01000110
     486    71    47  01000111
     487    71    47  01000111
     488    71    47  01000111
     489    70    46  01000110
     490    70    46  01000110
     491    71    47  01000111
     492    71    47  01000111
     493    70    46  01000110
     494    71    47  01000111
