File: CAP_7_00_00_13_53_56.bin  (131072 bytes, 131072 samples)

   Index   Dec   Hex         Bin
----------------------------------
       0   247    f7  11110111
       1   247    f7  11110111
       2   247    f7  11110111
       3   247    f7  11110111
       4    16    10  00010000
       5    68    44  01000100
       6    95    5f  01011111
       7   255    ff  11111111
       8     0     0  00000000
       9     0     0  00000000
      10   255    ff  11111111
      11    64    40  01000000
      12   255    ff  11111111
      13   253    fd  11111101
      14     0     0  00000000
      15     0     0  00000000
      16   243    f3  11110011
      17   253    fd  11111101
      18   255    ff  11111111
      19   252    fc  11111100
      20   255    ff  11111111
      21   253    fd  11111101
      22   243    f3  11110011
      23   255    ff  11111111
      24   251    fb  11111011
      25   253    fd  11111101
      26   243    f3  11110011
      27   243    f3  11110011
      28   251    fb  11111011
      29   253    fd  11111101
      30   243    f3  11110011
      31   255    ff  11111111
      32   255    ff  11111111
      33   253    fd  11111101
      34   243    f3  11110011
      35   255    ff  11111111
      36   251    fb  11111011
      37   253    fd  11111101
      38   243    f3  11110011
      39   243    f3  11110011
      40   251    fb  11111011
      41   253    fd  11111101
      42   243    f3  11110011
      43   255    ff  11111111
      44   255    ff  11111111
      45   253    fd  11111101
      46   243    f3  11110011
      47   243    f3  11110011
      48   251    fb  11111011
      49   253    fd  11111101
      50   243    f3  11110011
      51   255    ff  11111111
      52   255    ff  11111111
      53   253    fd  11111101
      54   243    f3  11110011
      55   255    ff  11111111
      56   255    ff  11111111
      57   253    fd  11111101
      58   243    f3  11110011
      59   255    ff  11111111
      60   145    91  10010001
      61   143    8f  10001111
      62    48    30  00110000
      63   255    ff  11111111
      64   151    97  10010111
      65   151    97  10010111
      66   150    96  10010110
      67   147    93  10010011
      68   151    97  10010111
      69   148    94  10010100
      70   152    98  10011000
      71   144    90  10010000
      72   144    90  10010000
      73   154    9a  10011010
      74   148    94  10010100
      75   148    94  10010100
      76   148    94  10010100
      77   151    97  10010111
      78   148    94  10010100
      79   150    96  10010110
      80   153    99  10011001
      81   145    91  10010001
      82   151    97  10010111
      83   147    93  10010011
      84   151    97  10010111
      85   146    92  10010010
      86   151    97  10010111
      87   146    92  10010010
      88   147    93  10010011
      89   150    96  10010110
      90   146    92  10010010
      91   149    95  10010101
      92   147    93  10010011
      93   150    96  10010110
      94   143    8f  10001111
